Date,"Largest 4 Longs, Gross","Largest 4 Shorts, Gross","Largest 8 Longs, Gross","Largest 8 Shorts, Gross","Largest 4 Longs, Net","Largest 4 Shorts, Net","Largest 8 Longs, Net","Largest 8 Shorts, Net"
2016-12-20,73.6,54.2,95.5,75.6,51.9,38.5,58.9,53.5
2016-12-13,74.5,53.4,95.8,76.2,51.8,36.8,57.1,51.4
2016-12-06,75.2,54.1,96.7,77.2,52.5,37.7,57.8,52.9
2016-11-29,69.2,56.9,95.7,78.1,44.0,28.1,48.7,41.8
2016-11-22,68.8,57.0,95.6,78.5,43.7,28.1,48.5,41.6
2016-11-15,68.6,54.8,95.6,76.2,44.0,27.5,49.1,42.1
2016-11-08,67.6,54.6,95.3,76.0,42.2,26.0,47.6,40.5
2016-11-01,62.0,50.7,94.5,74.6,42.9,31.5,49.0,44.5
2016-10-25,62.6,50.3,93.8,72.8,43.7,31.3,50.2,46.0
2016-10-18,65.9,50.5,93.8,73.0,44.9,32.4,52.4,48.0
2016-10-11,68.8,49.9,96.2,73.3,47.3,33.6,55.1,50.3
2016-10-04,67.9,50.7,96.1,72.5,45.8,32.3,54.2,48.9
2016-09-27,62.0,48.6,93.2,70.6,43.2,27.1,49.4,42.6
2016-09-20,64.7,50.0,93.9,72.1,42.7,26.9,49.1,42.6
2016-08-30,72.1,57.0,94.4,76.2,48.8,31.5,55.8,47.4
2016-07-26,71.6,59.9,95.7,82.1,49.0,34.8,54.8,51.0
2016-07-19,71.0,61.2,96.2,81.6,49.2,33.7,54.0,49.7
2016-07-12,70.6,61.3,96.1,81.5,48.9,33.0,53.8,48.7
2016-07-05,70.9,62.4,96.0,81.6,48.9,32.6,53.8,47.7
2016-03-29,73.8,57.0,90.1,80.0,47.5,39.6,53.9,52.3
2016-03-22,74.9,56.9,89.7,79.4,47.8,39.8,54.4,52.6
2016-03-15,76.1,57.5,89.9,79.4,48.1,40.2,54.9,53.0
2016-03-08,77.6,60.3,91.9,81.2,48.6,40.0,55.3,52.8
2016-03-01,67.4,58.9,89.5,80.7,43.3,33.2,52.4,46.2
2016-02-23,70.0,61.3,93.4,82.3,44.5,34.0,51.6,47.6
2016-02-02,69.1,57.6,94.1,82.7,48.8,36.6,57.9,52.7
2016-01-26,68.9,58.6,94.2,80.7,47.8,39.7,57.5,53.4
2016-01-19,68.0,55.7,94.5,77.8,51.1,43.1,60.8,57.2
2016-01-12,68.7,57.2,94.4,78.7,50.6,43.8,60.5,58.2
2016-01-05,74.1,52.1,94.2,76.1,46.2,39.2,54.8,52.6
2015-12-29,72.2,39.3,92.5,68.4,45.8,28.7,51.1,45.3
2015-12-22,72.5,37.1,92.5,65.7,45.9,27.0,53.2,44.8
2015-12-15,69.6,40.3,89.0,69.4,40.5,27.9,50.6,43.9
2015-12-08,67.5,44.0,87.8,68.7,36.4,23.5,46.7,40.0
2015-12-01,63.3,46.1,83.7,71.0,33.1,27.6,43.6,41.2
2015-11-24,60.7,45.2,83.2,69.3,32.2,25.1,42.7,39.4
2015-11-17,62.5,48.4,85.8,71.9,34.4,25.2,45.2,40.5
2015-11-10,55.1,45.9,82.2,75.5,44.4,31.8,56.6,49.4
2015-11-03,56.2,45.9,83.9,74.0,46.1,33.1,57.0,48.8
2015-10-27,53.5,49.6,80.0,78.9,34.4,30.1,44.1,41.7
2015-10-20,54.9,48.3,81.4,77.6,36.6,32.8,48.2,45.8
2015-10-13,59.1,49.9,85.1,78.0,37.4,32.4,49.7,44.8
2015-10-06,62.9,49.4,88.3,77.3,42.4,33.4,52.9,46.1
2015-09-29,65.1,47.4,89.6,77.9,44.2,31.4,51.3,47.6
2015-09-22,64.3,46.2,89.1,76.8,45.7,31.6,53.3,48.5
2015-09-15,70.4,44.0,91.2,74.6,54.5,34.7,57.8,52.3
2015-09-08,70.0,45.2,91.1,75.3,55.2,34.9,58.6,52.0
2015-09-01,60.4,43.5,88.1,75.6,46.9,32.5,51.9,45.4
2015-08-25,63.7,43.1,86.7,76.9,52.6,36.8,57.8,51.0
2015-08-18,65.7,49.0,88.2,77.3,52.3,36.3,57.5,49.2
2015-08-11,64.9,49.5,88.5,76.2,50.8,33.9,56.3,47.5
2015-08-04,62.1,48.9,86.9,74.2,46.9,29.3,50.3,44.1
2015-07-28,70.4,49.2,84.4,73.9,54.4,37.7,63.8,55.4
2015-07-21,72.1,45.2,87.0,70.9,56.4,35.0,64.4,54.1
2015-07-14,74.1,48.2,87.9,71.7,59.0,37.0,64.5,55.3
2015-07-07,72.7,41.6,87.3,65.7,66.0,39.0,70.1,58.6
2015-06-30,74.5,36.9,87.8,60.7,64.1,33.5,70.3,52.7
2015-06-23,76.0,36.1,87.9,60.1,63.3,32.6,69.4,50.9
2015-06-16,74.3,35.6,87.8,61.1,60.1,30.6,66.0,47.8
2015-06-09,71.4,35.4,86.3,61.3,52.7,28.4,59.0,45.4
2015-06-02,72.5,38.9,87.8,64.0,56.1,32.5,62.6,49.4
2015-05-26,69.7,39.3,86.4,62.8,56.7,36.1,64.7,53.8
2015-05-19,70.6,40.6,86.7,62.8,58.6,36.4,66.2,52.4
2015-05-12,69.2,41.4,84.8,63.6,57.5,34.9,64.4,51.1
2015-05-05,72.5,42.9,88.5,65.8,58.9,36.0,65.4,50.9
2015-04-28,67.0,44.9,88.7,65.9,54.0,36.4,59.6,48.4
2015-04-21,68.0,45.3,88.6,66.5,54.3,35.4,58.2,48.2
2015-04-14,69.4,52.7,88.7,74.9,55.6,42.6,59.3,54.0
2015-04-07,69.7,51.5,88.4,74.9,54.3,40.7,57.8,51.5
2015-03-31,60.3,47.1,83.5,76.1,47.5,34.4,51.0,45.4
2015-03-24,60.1,47.5,83.9,75.5,50.0,35.9,53.0,47.5
2015-03-17,59.5,48.1,84.1,74.2,47.5,35.6,55.8,48.4
2015-03-10,58.0,48.7,84.7,73.4,47.7,35.1,57.6,50.9
2015-03-03,58.9,49.4,85.4,74.0,51.1,36.2,60.2,53.7
2015-02-24,64.4,52.5,85.0,78.0,47.8,39.8,57.4,57.5
2015-02-17,60.2,52.7,80.9,78.6,41.9,37.8,52.7,54.6
2015-02-10,60.7,50.3,82.2,77.9,42.1,35.2,51.8,52.9
2015-02-03,67.4,52.2,86.3,78.5,45.5,34.2,53.8,54.0
2015-01-27,68.9,49.7,84.1,77.2,46.8,38.9,55.0,52.0
2015-01-20,71.5,51.9,90.1,82.1,49.5,39.5,57.4,54.0
2015-01-13,74.4,55.0,91.9,84.4,52.6,40.9,60.6,55.4
2015-01-06,75.9,55.0,93.2,83.3,52.4,37.9,59.1,52.5
2014-12-30,66.7,53.9,83.9,83.0,42.6,39.3,50.7,48.6
2014-12-23,66.2,53.8,83.7,82.7,41.8,38.4,50.0,47.9
2014-12-16,67.4,54.2,83.5,82.4,42.6,40.1,50.2,49.1
2014-12-09,68.5,53.5,84.5,80.2,40.3,38.2,47.4,46.1
2014-12-02,70.0,52.0,86.6,79.6,37.4,32.9,43.8,41.7
2014-11-25,58.4,48.9,78.1,72.8,29.8,24.5,38.3,35.2
2014-11-18,59.8,48.7,79.9,72.9,30.7,23.8,38.6,35.1
2014-11-11,60.3,49.5,80.7,73.1,29.8,25.3,37.3,35.1
2014-11-04,59.7,51.2,80.7,74.3,31.7,23.6,39.2,36.3
2014-10-28,62.6,47.3,81.3,71.3,31.1,22.4,38.3,34.1
2014-10-21,65.0,50.1,82.8,75.6,31.6,24.4,41.1,36.8
2014-10-14,67.7,48.9,87.1,75.4,31.6,23.8,37.3,35.7
2014-10-07,68.4,51.7,87.8,76.1,30.2,23.0,36.2,34.7
2014-09-30,55.3,41.4,76.2,67.4,29.1,18.2,36.0,29.1
2014-09-23,53.0,40.7,75.4,65.9,31.8,20.3,39.5,32.2
2014-09-17,62.8,52.9,86.5,74.3,40.1,24.1,47.3,40.4
2014-09-16,55.1,43.8,76.8,69.8,36.6,23.7,45.5,36.2
2014-09-09,57.6,47.9,80.1,73.1,37.3,22.4,44.9,36.2
2014-09-02,55.3,41.0,75.1,66.8,35.0,22.8,44.1,37.2
2014-08-26,53.5,42.0,74.6,69.5,35.6,23.6,45.0,38.7
2014-08-19,52.3,44.2,74.2,69.6,35.4,23.3,44.4,38.8
2014-08-12,48.7,43.6,71.1,68.4,33.4,23.2,43.3,38.8
2014-08-05,51.3,44.8,75.6,68.8,36.9,27.5,50.0,43.9
2014-07-29,63.3,50.7,81.1,71.6,54.7,40.4,69.5,60.2
2014-07-22,65.1,53.5,83.0,77.1,56.9,44.4,71.8,66.5
2014-07-15,65.2,53.4,84.1,77.0,56.7,44.2,72.8,66.3
2014-07-08,67.9,53.6,88.5,75.8,59.3,44.9,75.5,66.8
2014-07-01,67.0,54.7,82.9,71.7,57.5,45.1,67.3,60.8
2014-06-24,65.8,56.9,83.8,74.5,58.2,46.9,68.1,61.6
2014-06-17,68.5,57.8,86.7,75.8,58.5,47.6,67.5,61.9
2014-06-10,68.0,55.7,85.7,76.0,58.5,46.0,68.9,63.9
2014-06-03,71.2,55.4,88.0,76.5,61.6,47.6,70.9,67.1
2014-05-27,62.7,47.9,81.4,69.1,54.4,37.6,62.4,55.9
2014-05-20,61.8,49.8,81.3,69.7,53.2,38.2,60.7,54.3
2014-05-13,62.3,52.1,82.5,71.0,55.3,40.1,63.1,54.5
2014-05-06,63.0,56.4,82.9,75.2,54.3,40.5,61.7,53.9
2014-04-29,62.1,54.5,80.5,75.4,46.3,37.7,54.5,51.1
2014-04-22,61.4,58.3,79.5,78.3,47.4,40.3,56.2,54.1
2014-04-15,60.0,57.5,79.3,77.2,49.3,41.5,58.0,55.7
2014-04-08,62.8,57.1,83.1,77.0,51.4,42.8,58.2,56.7
2014-04-01,53.6,47.9,72.7,69.5,29.2,22.0,34.0,32.7
2014-03-25,54.5,48.9,74.1,68.7,29.0,20.5,33.2,30.9
2014-03-18,57.6,51.7,77.5,71.7,30.5,21.6,34.9,32.3
2014-03-11,57.5,52.9,77.6,73.8,30.7,23.2,35.0,31.9
2014-03-04,60.1,54.9,81.4,77.8,31.4,23.2,35.0,32.1
2014-02-25,62.6,55.7,82.2,76.4,33.2,23.9,36.6,33.9
2014-02-18,62.7,56.3,83.0,76.9,34.0,23.5,37.6,33.2
2014-02-11,61.8,58.8,85.2,80.2,36.0,25.7,40.4,36.0
2014-02-04,62.1,62.1,87.4,80.8,39.5,27.7,42.5,36.9
2014-01-28,59.5,53.3,85.9,76.4,32.2,18.9,39.1,31.7
2014-01-21,62.0,52.0,84.9,74.5,35.6,18.8,41.2,31.7
2014-01-14,62.4,52.0,84.0,74.0,37.4,20.0,43.0,33.7
2014-01-07,62.8,52.9,86.5,74.3,40.1,24.1,47.3,40.4
2013-12-31,56.6,43.6,81.3,64.3,28.4,20.7,41.3,33.9
2013-12-24,55.2,42.5,80.6,63.0,29.1,21.0,42.2,34.6
2013-12-17,53.1,41.2,79.3,62.7,29.8,22.0,43.3,34.6
2013-12-10,54.4,39.5,79.8,61.9,32.6,23.6,45.4,35.2
2013-12-03,57.5,40.8,85.5,62.3,36.1,25.4,48.3,37.7
2013-11-26,51.4,40.6,76.2,62.6,28.6,25.3,39.5,38.6
2013-11-19,50.9,43.4,75.0,66.9,25.9,26.4,37.2,38.2
2013-11-12,48.7,47.3,73.0,72.0,25.7,29.1,38.3,40.6
2013-11-05,47.6,47.7,73.1,72.9,26.9,30.7,40.0,41.8
2013-10-29,50.7,47.5,73.7,72.0,40.4,38.3,53.2,51.5
2013-10-22,53.5,47.1,76.2,73.8,42.7,41.3,53.9,52.4
2013-10-15,54.5,49.2,77.9,74.1,42.7,42.8,52.6,53.3
2013-10-08,56.3,49.3,79.2,73.4,45.2,44.8,54.9,55.5
2013-10-01,55.5,49.8,75.5,70.2,44.0,44.8,53.8,56.4
2013-09-24,55.5,46.5,75.3,68.6,42.3,42.9,51.3,53.1
2013-09-17,54.3,47.4,74.4,68.9,42.7,43.7,52.6,54.1
2013-09-10,56.7,49.8,77.0,72.0,42.8,44.5,53.0,54.6
2013-09-03,59.7,50.1,77.6,67.5,48.0,43.0,55.4,51.9
2013-08-27,60.6,52.0,78.7,69.6,48.8,44.1,56.3,52.8
2013-08-20,60.3,52.9,78.2,69.8,48.8,44.2,56.2,53.1
2013-08-13,61.2,53.8,79.4,70.6,49.3,45.0,57.0,54.0
2013-08-06,61.6,54.4,80.1,71.5,48.9,45.1,56.4,54.0
2013-07-30,64.6,61.0,84.7,75.8,55.2,53.1,61.7,60.3
2013-07-23,68.4,66.2,87.3,80.7,61.7,59.4,68.3,66.8
2013-07-16,70.0,67.2,88.8,81.9,62.7,60.1,68.6,67.5
2013-07-09,71.1,68.7,89.0,81.7,63.8,61.6,70.2,69.5
2013-07-02,72.3,70.8,89.6,84.4,65.6,63.7,73.1,71.5
2013-06-25,66.5,57.1,82.3,73.8,55.0,40.0,58.2,49.0
2013-06-18,67.7,59.1,82.7,74.5,56.3,42.2,59.6,51.0
2013-06-11,67.7,60.1,82.3,74.5,56.4,43.6,61.0,52.2
2013-06-04,68.0,60.9,82.6,75.4,56.4,43.2,60.7,52.4
2013-05-28,64.8,55.3,79.8,71.8,44.0,32.5,46.8,40.0
2013-05-21,64.3,56.9,79.8,73.5,43.7,32.5,45.8,39.5
2013-05-14,68.6,58.1,84.6,74.9,46.4,34.9,48.3,42.4
