,Date,US30_Open,US30_High,US30_Low,US30_Close
0,05/2017,21038.5,21229.4,20988.5,21164.5
1,04/2017,20950.5,21112.5,20494.5,21038.5
2,03/2017,20669.5,21072.0,20371.5,20950.5
3,02/2017,20839.5,21170.5,20409.5,20669.5
4,01/2017,19892.5,20843.5,19805.5,20839.5
5,12/2016,19769.5,20138.5,19675.0,19892.5
6,11/2016,19145.0,19989.0,19091.5,19769.5
7,10/2016,18163.5,19222.0,17476.5,19145.0
8,09/2016,18294.0,18404.0,17955.0,18163.5
9,08/2016,18397.0,18553.5,17902.5,18294.0
10,07/2016,18449.0,18668.5,18243.0,18397.0
11,06/2016,17890.5,18636.5,17710.0,18449.0
12,05/2016,17789.5,18118.5,17060.5,17890.5
13,04/2016,17791.5,17933.0,17327.5,17789.5
14,03/2016,17703.5,18167.5,17482.5,17791.5
15,02/2016,16511.0,17790.0,16450.0,17703.5
16,01/2016,16431.5,16845.5,15501.0,16511.0
17,12/2015,17554.5,17554.5,15448.5,16431.5
18,11/2015,17778.5,17914.5,17092.5,17554.5
19,10/2015,17680.5,17977.5,17091.5,17778.5
20,09/2015,16229.5,17849.5,16007.5,17680.5
21,08/2015,16505.5,16935.5,15902.5,16229.5
22,07/2015,17723.5,17736.5,15193.5,16505.5
23,06/2015,17629.5,18153.5,17396.5,17723.5
24,05/2015,18038.5,18186.5,17569.5,17629.5
25,04/2015,17858.5,18365.5,17683.5,18038.5
26,03/2015,17773.5,18184.5,17556.5,17858.5
27,02/2015,18158.5,18279.5,17546.5,17773.5
28,01/2015,17186.5,18242.5,17033.5,18158.5
29,12/2014,17948.5,17949.5,17129.5,17186.5
30,11/2014,17837.5,18099.5,17032.5,17948.5
31,10/2014,17366.5,17896.5,17281.5,17837.5
32,09/2014,17021.5,17427.5,15849.5,17366.5
33,08/2014,17094.5,17362.0,16927.5,17021.0
34,07/2014,16562.5,17153.0,16261.0,17094.5
35,06/2014,16834.5,17148.0,16550.0,16562.5
36,05/2014,16708.5,16990.5,16671.5,16834.5
37,04/2014,16580.5,16732.5,16337.5,16708.5
38,03/2014,16452.5,16650.5,15984.5,16580.5
39,02/2014,16339.5,16512.5,15978.5,16452.5
40,01/2014,15714.5,16397.5,15337.5,16339.5
41,12/2013,16560.5,16560.5,15611.5,15714.5
42,11/2013,16091.5,16569.5,15662.5,16560.5
43,10/2013,15588.5,16176.5,15518.5,16091.5
44,09/2013,15153.5,15737.5,14717.5,15588.5
45,08/2013,14817.5,15722.5,14773.5,15153.5
46,07/2013,15531.5,15654.5,14761.5,14817.5
47,06/2013,14903.5,15618.5,14816.5,15517.5
48,05/2013,15126.5,15344.5,14547.5,14903.5
49,04/2013,14836.5,15540.5,14684.5,15126.5
50,03/2013,14577.5,14886.5,14430.5,14836.5
51,02/2013,14027.5,14586.5,13933.5,14577.5
52,01/2013,13885.5,14146.5,13762.5,14027.5
