,Date,JP_Open,JP_High,JP_Low,JP_Close
0,05/2017,19661.0,20230.0,19659.0,20080.0
1,04/2017,19195.0,20019.0,19156.0,19661.0
2,03/2017,18948.0,19319.0,18193.0,19195.0
3,02/2017,19176.0,19704.0,18867.0,18948.0
4,01/2017,18988.0,19535.0,18795.5,19176.0
5,12/2016,19055.5,19697.5,18637.5,18988.0
6,11/2016,18611.5,19652.5,18224.0,19055.5
7,10/2016,17391.5,18656.5,16105.5,18611.5
8,09/2016,16550.5,17486.5,16515.5,17391.5
9,08/2016,16908.5,17158.5,16253.0,16550.5
10,07/2016,16322.0,16934.5,15893.5,16908.5
11,06/2016,15748.5,16929.5,15087.5,16322.0
12,05/2016,17069.5,17144.5,14822.5,15748.5
13,04/2016,15869.0,17246.5,15814.5,17069.5
14,03/2016,16763.5,17769.5,15322.5,15869.0
15,02/2016,15985.5,17306.5,15848.0,16763.5
16,01/2016,17863.0,17897.5,14770.0,15985.5
17,12/2015,18831.0,18947.0,15798.0,17863.0
18,11/2015,19779.0,20027.0,18531.0,18831.0
19,10/2015,18848.0,20026.0,18633.0,19779.0
20,09/2015,17477.0,19203.0,17237.0,18848.0
21,08/2015,18788.0,18815.0,16890.0,17477.0
22,07/2015,20600.0,20932.0,17158.0,18788.0
23,06/2015,20219.0,20848.0,19114.0,20600.0
24,05/2015,20443.0,20961.0,19893.0,20219.0
25,04/2015,19413.0,20658.0,19033.0,20443.0
26,03/2015,19220.0,20263.0,18938.0,19413.0
27,02/2015,18856.0,19078.0,18488.0,19220.0
28,01/2015,17480.0,18911.0,17266.0,18856.0
29,12/2014,17368.0,17870.0,16527.0,17480.0
30,11/2014,17451.0,18093.0,16433.0,17368.0
31,10/2014,17024.0,17575.0,16665.0,17451.0
32,09/2014,16173.0,17034.0,14353.0,17024.0
33,08/2014,15440.0,16423.0,15440.0,16173.0
34,07/2014,15486.0,15645.0,14650.0,15440.0
35,06/2014,15163.0,15781.0,15000.0,15486.0
36,05/2014,14705.0,15473.0,14705.0,15163.0
37,04/2014,14270.0,14738.0,13889.0,14705.0
38,03/2014,14788.0,15168.0,13817.0,14270.0
39,02/2014,14915.0,15421.0,14099.0,14788.0
40,01/2014,14589.0,15090.0,13904.0,14915.0
41,12/2013,16263.0,16263.0,14574.0,14589.0
42,11/2013,15672.0,16298.0,15037.0,16263.0
43,10/2013,14413.0,15727.0,13863.0,15672.0
44,09/2013,14505.0,14803.0,13708.0,14413.0
45,08/2013,13303.0,14903.0,13303.0,14505.0
46,07/2013,13593.0,14488.0,13160.0,13303.0
47,06/2013,13683.0,14963.0,13548.0,13603.0
48,05/2013,13435.0,13763.0,12283.0,13683.0
49,04/2013,13835.0,15978.0,13398.0,13435.0
50,03/2013,12395.0,14033.0,11785.0,13835.0
51,02/2013,11518.0,12680.0,11468.0,12395.0
52,01/2013,11130.0,11678.0,11010.0,11518.0
53,12/2012,10393.0,11180.0,10366.0,11130.0
54,11/2012,9485.0,10428.0,9370.0,10393.0
55,10/2012,8905.0,9525.0,8610.0,9485.0
56,09/2012,8804.0,9114.0,8479.0,8905.0
57,08/2012,8880.0,9279.0,8630.0,8804.0
58,07/2012,8586.0,9240.0,8497.0,8880.0
59,06/2012,9108.0,9140.0,8316.0,8586.0
60,05/2012,8488.0,9115.0,8190.0,9108.0
61,04/2012,9440.0,9453.0,8430.0,8488.0
62,03/2012,10145.0,10185.0,9240.0,9440.0
63,02/2012,9745.0,10268.0,9480.0,10145.0
64,01/2012,8798.0,9863.0,8763.0,9745.0
65,12/2011,8425.0,8910.0,8303.0,8798.0
66,11/2011,8637.0,8742.0,8267.0,8425.0
67,10/2011,8865.0,8933.0,8087.0,8637.0
68,09/2011,8568.0,9150.0,8312.0,8865.0
69,08/2011,9015.0,9085.0,8310.0,8568.0
70,07/2011,9818.0,10030.0,8570.0,9015.0
71,06/2011,9875.0,10202.0,9743.0,9818.0
72,05/2011,9706.0,9910.0,9293.0,9875.0
73,04/2011,9908.0,10033.0,9370.0,9706.0
74,03/2011,9713.0,9940.0,9347.0,9908.0
75,02/2011,10030.0,10030.0,8335.0,9713.0
76,01/2011,10241.0,10912.0,10110.0,10666.0
77,12/2010,10165.0,10620.0,10164.0,10241.0
78,11/2010,9930.0,10393.0,9908.0,10165.0
79,10/2010,9153.0,9687.0,9063.0,9687.0
80,09/2010,9386.0,9712.0,9136.0,9153.0
81,08/2010,8819.0,9742.0,8789.0,9386.0
82,07/2010,9503.0,9736.0,8730.0,8819.0
83,06/2010,9115.0,9803.0,9017.0,9503.0
84,05/2010,9728.0,10260.0,9018.0,9115.0
85,04/2010,11080.0,11080.0,9279.0,9728.0
86,03/2010,11117.0,11366.0,10832.0,11080.0
87,02/2010,10127.0,10855.0,10106.0,10800.0
88,01/2010,10226.0,10442.0,9863.0,10127.0
89,12/2009,10535.0,10975.0,10156.0,10226.0
90,11/2009,9260.0,10725.0,9210.0,10535.0
91,10/2009,9947.0,9967.0,8995.0,9260.0
92,09/2009,10107.0,10387.0,9617.0,9947.0
93,08/2009,10425.0,10570.0,9972.0,10107.0
94,07/2009,10334.0,10755.0,10106.0,10425.0
95,06/2009,9923.0,10379.0,9013.0,10334.0
96,05/2009,9517.0,10167.0,9477.0,9923.0
97,04/2009,8962.0,9517.0,8812.0,9517.0
98,03/2009,8720.0,9080.0,8462.0,8962.0
99,02/2009,7568.0,8840.0,6971.0,8720.0
100,01/2009,7994.0,8258.0,7155.0,7568.0
101,12/2008,8860.0,9325.0,7671.0,7994.0
102,11/2008,8512.0,8860.0,7850.0,8860.0
103,10/2008,8577.0,9521.0,7406.0,8512.0
104,09/2008,11260.0,11457.0,6995.0,8577.0
105,08/2008,13073.0,13073.0,11161.0,11260.0
106,07/2008,13377.0,13469.0,12632.0,13073.0
107,06/2008,13481.0,13603.0,12671.0,13377.0
108,05/2008,14339.0,14601.0,13453.0,13481.0
109,04/2008,13850.0,14393.0,13541.0,14339.0
110,03/2008,12526.0,14003.0,12522.0,13850.0
111,02/2008,13603.0,13603.0,11691.0,12526.0
112,01/2008,13592.0,14105.0,12923.0,13603.0
113,12/2007,15308.0,15308.0,12573.0,13592.0
114,11/2007,15681.0,16108.0,14998.0,15308.0
115,10/2007,16738.0,16887.0,14670.0,15681.0
116,09/2007,16786.0,17489.0,16199.0,16738.0
117,08/2007,16569.0,16929.0,15611.0,16786.0
118,07/2007,17249.0,17274.0,15262.0,16569.0
119,06/2007,18138.0,18295.0,17043.0,17249.0
120,05/2007,17876.0,18297.0,17592.0,18138.0
121,04/2007,17400.0,17876.0,17203.0,17876.0
122,03/2007,17288.0,17782.0,16999.0,17400.0
123,02/2007,17604.0,17604.0,16533.0,17288.0
124,01/2007,17383.0,18300.0,17200.0,17604.0
125,12/2006,17226.0,17618.0,16758.0,17383.0
126,11/2006,16274.0,17302.0,16186.0,17226.0
127,10/2006,16399.0,16513.0,15616.0,16274.0
128,09/2006,16128.0,16902.0,16028.0,16399.0
