Date,Index
2017-06-09,654.0
2017-06-08,649.0
2017-06-07,652.0
2017-06-06,658.0
2017-06-05,666.0
2017-06-02,674.0
2017-06-01,685.0
2017-05-31,698.0
2017-05-30,712.0
2017-05-26,721.0
2017-05-25,728.0
2017-05-24,737.0
2017-05-23,746.0
2017-05-22,753.0
2017-05-19,759.0
2017-05-18,764.0
2017-05-17,771.0
2017-05-16,778.0
2017-05-15,782.0
2017-05-12,784.0
2017-05-11,787.0
2017-05-10,790.0
2017-05-09,794.0
2017-05-08,799.0
2017-05-05,811.0
2017-05-04,822.0
2017-05-03,835.0
2017-05-02,849.0
2017-04-28,861.0
2017-04-27,870.0
2017-04-26,881.0
2017-04-25,887.0
2017-04-24,892.0
2017-04-21,895.0
2017-04-20,899.0
2017-04-19,900.0
2017-04-18,898.0
2017-04-13,899.0
2017-04-12,893.0
2017-04-11,891.0
2017-04-10,888.0
2017-04-07,886.0
2017-04-06,882.0
2017-04-05,880.0
2017-04-04,881.0
2017-03-31,881.0
2017-03-30,882.0
2017-03-29,885.0
2017-03-28,893.0
2017-03-27,895.0
2017-03-24,896.0
2017-03-23,892.0
2017-03-22,888.0
2017-03-21,886.0
2017-03-20,884.0
2017-03-17,879.0
2017-03-16,877.0
2017-03-15,877.0
2017-03-14,877.0
2017-03-13,875.0
2017-03-10,874.0
2017-03-09,872.0
2017-03-08,868.0
2017-03-07,861.0
2017-03-06,852.0
2017-03-03,846.0
2017-03-02,840.0
2017-03-01,833.0
2017-02-28,825.0
2017-02-27,817.0
2017-02-24,809.0
2017-02-23,797.0
2017-02-22,783.0
2017-02-21,764.0
2017-02-20,747.0
2017-02-17,729.0
2017-02-16,707.0
2017-02-15,689.0
2017-02-14,681.0
2017-02-13,676.0
2017-02-10,672.0
2017-02-09,668.0
2017-02-08,665.0
2017-02-07,663.0
2017-02-06,665.0
2017-02-03,667.0
2017-02-02,670.0
2017-02-01,674.0
2017-01-31,679.0
2017-01-30,688.0
2017-01-27,692.0
2017-01-26,696.0
2017-01-25,702.0
2017-01-24,708.0
2017-01-23,714.0
2017-01-20,718.0
2017-01-19,722.0
2017-01-18,725.0
2017-01-17,730.0
2017-01-16,733.0
2017-01-13,739.0
2017-01-12,748.0
2017-01-11,758.0
2017-01-10,766.0
2017-01-09,772.0
2017-01-06,783.0
2017-01-05,795.0
2017-01-04,820.0
2017-01-03,843.0
2016-12-23,903.0
2016-12-22,914.0
2016-12-21,926.0
2016-12-20,941.0
2016-12-19,953.0
2016-12-16,960.0
2016-12-15,968.0
2016-12-14,975.0
2016-12-13,972.0
2016-12-12,968.0
2016-12-09,966.0
2016-12-08,957.0
2016-12-07,941.0
2016-12-06,934.0
2016-12-05,929.0
2016-12-02,921.0
2016-12-01,917.0
