,Date,Open,High,Low,Close
0,05/2017,3.0746,3.1231,2.9295,3.0401
1,04/2017,3.2645,3.4256,3.0566,3.0746
2,03/2017,3.1835,3.3421,3.0175,3.2645
3,02/2017,2.7626,3.248,2.727,3.1835
4,01/2017,3.129,3.2225,2.517,2.7626
5,12/2016,3.7356,3.7356,3.094,3.129
6,11/2016,3.3406,3.8966,3.2376,3.7356
7,10/2016,2.9736,3.3611,2.544,3.3406
8,09/2016,2.898,3.3605,2.6225,2.9736
9,08/2016,2.875,3.0935,2.6605,2.898
10,07/2016,2.8565,2.937,2.5185,2.875
11,06/2016,2.9285,2.9925,2.622,2.8565
12,05/2016,2.2845,2.9665,2.2725,2.9285
13,04/2016,2.1425,2.2985,1.949,2.2845
14,03/2016,1.958,2.1945,1.8675,2.1425
15,02/2016,1.7,2.0225,1.606,1.958
16,01/2016,2.305,2.305,1.685,1.7
17,12/2015,2.343,2.489,2.039,2.305
18,11/2015,2.226,2.381,1.686,2.343
19,10/2015,2.306,2.454,2.046,2.226
20,09/2015,2.517,2.573,1.943,2.306
21,08/2015,2.681,2.788,2.506,2.517
22,07/2015,2.712,2.929,2.62,2.681
23,06/2015,2.82,2.944,2.643,2.712
24,05/2015,2.639,2.95,2.556,2.82
25,04/2015,2.724,3.101,2.628,2.639
26,03/2015,2.639,2.764,2.439,2.724
27,02/2015,2.705,2.865,2.605,2.639
28,01/2015,2.666,3.034,2.566,2.705
29,12/2014,2.935,3.347,2.633,2.666
30,11/2014,4.166,4.166,2.934,2.935
31,10/2014,3.867,4.539,3.867,4.166
32,09/2014,4.12,4.179,3.537,3.867
33,08/2014,4.077,4.172,3.762,4.12
34,07/2014,3.819,4.091,3.726,4.077
35,06/2014,4.437,4.482,3.729,3.819
36,05/2014,4.546,4.805,4.37,4.437
37,04/2014,4.791,4.821,4.306,4.546
38,03/2014,4.369,4.847,4.217,4.791
39,02/2014,4.601,4.731,4.258,4.369
40,01/2014,4.862,6.484,4.437,4.601
41,12/2013,4.301,5.479,3.948,4.862
42,11/2013,3.917,4.527,3.893,4.301
43,10/2013,3.564,3.949,3.375,3.917
44,09/2013,3.555,3.864,3.478,3.564
45,08/2013,3.602,3.811,3.449,3.555
46,07/2013,3.447,3.647,3.127,3.602
47,06/2013,3.566,3.826,3.408,3.411
48,05/2013,3.979,4.035,3.522,3.566
49,04/2013,4.337,4.439,3.858,3.979
50,03/2013,4.017,4.424,3.856,4.337
51,02/2013,3.488,4.116,3.403,4.017
52,01/2013,3.33,3.549,3.121,3.488
53,12/2012,3.358,3.64,3.083,3.33
54,11/2012,3.571,3.741,3.257,3.358
55,10/2012,3.692,3.931,3.462,3.571
56,09/2012,3.326,3.823,3.324,3.692
57,08/2012,2.8,3.328,2.649,3.326
58,07/2012,3.034,3.034,2.55,2.8
59,06/2012,2.72,3.183,2.72,3.034
60,05/2012,2.588,2.941,2.588,2.72
