,Date,NQ100_Open,NQ100_High, NQ100_Low,NQ100_Close
0,06/2017,5888.4,5888.4,5888.4,5888.4
1,05/2017,5801.0,5897.1,5778.0,5888.5
2,04/2017,5582.8,5815.8,5547.1,5801.0
3,03/2017,5437.1,5599.2,5347.4,5582.8
4,02/2017,5334.8,5451.4,5311.9,5437.1
5,01/2017,5134.2,5359.6,5124.3,5334.8
6,12/2016,4866.0,5172.9,4866.0,5134.2
7,11/2016,4817.1,4992.6,4700.1,4866.0
8,10/2016,4808.7,4897.3,4560.1,4817.1
9,09/2016,4870.4,4924.0,4759.4,4808.7
10,08/2016,4770.6,4895.6,4629.7,4870.4
11,07/2016,4735.5,4837.8,4688.4,4770.6
12,06/2016,4409.9,4741.9,4372.2,4735.5
13,05/2016,4521.9,4546.1,4177.5,4409.9
14,04/2016,4338.9,4526.9,4276.8,4521.9
15,03/2016,4483.6,4590.9,4303.1,4338.9
16,02/2016,4200.9,4519.6,4181.9,4483.6
17,01/2016,4272.0,4317.0,3867.1,4200.9
18,12/2015,4631.0,4631.0,3989.0,4272.0
19,11/2015,4680.0,4739.0,4477.0,4631.0
20,10/2015,4655.0,4737.0,4457.0,4680.0
21,09/2015,4164.0,4698.0,4121.9,4655.0
22,08/2015,4268.8,4450.4,4050.9,4164.0
23,07/2015,4592.9,4635.1,3902.0,4268.8
24,06/2015,4402.4,4692.9,4339.9,4592.9
25,05/2015,4516.1,4560.1,4374.4,4402.4
26,04/2015,4421.5,4551.9,4336.6,4516.1
27,03/2015,4330.3,4562.4,4267.0,4421.5
28,02/2015,4446.6,4483.4,4276.9,4330.3
29,01/2015,4150.9,4464.6,4091.6,4446.6
30,12/2014,4271.6,4292.1,4047.6,4150.9
31,11/2014,4338.3,4338.3,4082.4,4271.6
32,10/2014,4150.1,4345.9,4125.9,4338.3
33,09/2014,4043.3,4169.4,3690.4,4150.1
34,08/2014,4080.5,4124.6,4004.1,4043.3
35,07/2014,3892.6,4085.9,3832.6,4080.5
36,06/2014,3855.1,3996.1,3836.8,3892.6
37,05/2014,3731.0,3859.1,3708.0,3855.1
38,04/2014,3584.0,3740.0,3505.0,3731.0
39,03/2014,3590.0,3676.0,3412.0,3584.0
40,02/2014,3698.0,3739.0,3542.0,3590.0
41,01/2014,3521.0,3721.0,3416.0,3698.0
42,12/2013,3586.0,3639.0,3458.0,3521.0
43,11/2013,3490.0,3590.0,3420.0,3586.0
44,10/2013,3384.0,3495.0,3313.0,3490.0
45,09/2013,3225.0,3408.0,3117.0,3384.0
46,08/2013,3080.0,3245.0,3076.0,3225.0
47,07/2013,3097.0,3148.0,3053.0,3080.0
48,06/2013,2904.0,3091.0,2898.0,3076.0
49,05/2013,2981.0,3007.0,2822.0,2904.0
50,04/2013,2888.0,3053.0,2868.0,2981.0
51,03/2013,2818.0,2888.0,2730.0,2888.0
52,02/2013,2731.0,2834.0,2710.0,2818.0
53,01/2013,2734.0,2784.0,2687.0,2731.0
54,12/2012,2620.0,2773.0,2620.0,2734.0
55,11/2012,2679.0,2715.0,2584.0,2620.0
56,10/2012,2639.0,2700.0,2493.0,2679.0
57,09/2012,2796.0,2846.0,2611.0,2639.0
58,08/2012,2771.0,2876.0,2742.0,2796.0
59,07/2012,2640.0,2801.0,2604.0,2771.0
60,06/2012,2618.0,2662.0,2521.0,2640.0
61,05/2012,2522.0,2631.0,2435.0,2618.0
62,04/2012,2723.0,2756.0,2466.0,2522.0
63,03/2012,2756.0,2792.0,2628.0,2723.0
64,02/2012,2619.0,2793.0,2574.0,2756.0
