,Date,SP_Open,SP_High,SP_Low,SP_Close
0,06/2017,2433.97,2434.22,2433.97,2434.22
1,05/2017,2414.78,2440.07,2410.88,2433.97
2,04/2017,2384.28,2418.78,2345.98,2414.78
3,03/2017,2362.68,2397.97,2326.28,2384.28
4,02/2017,2365.72,2401.33,2321.23,2362.68
5,01/2017,2281.67,2371.48,2268.1,2365.72
6,12/2016,2239.23,2303.93,2239.23,2281.67
7,11/2016,2199.58,2277.87,2180.08,2239.23
8,10/2016,2129.32,2215.0,2032.1,2199.58
9,09/2016,2165.68,2170.55,2113.0,2129.32
10,08/2016,2169.37,2190.17,2108.1,2165.68
11,07/2016,2176.1,2194.02,2147.4,2169.37
12,06/2016,2095.35,2178.42,2073.15,2176.1
13,05/2016,2096.33,2127.73,1989.9,2095.35
14,04/2016,2066.78,2105.77,2025.23,2096.33
15,03/2016,2060.47,2111.47,2033.22,2066.78
16,02/2016,1930.22,2073.22,1922.72,2060.47
17,2016-01-01 00:00:00,1936.1,1971.47,1807.6,1930.22
18,12/2015,2058.0,2058.0,1811.0,1936.1
19,11/2015,2087.2,2106.2,1993.2,2058.0
20,10/2015,2080.2,2116.5,2003.6,2087.2
21,09/2015,1911.98,2101.0,1892.48,2080.2
22,08/2015,1968.3,2021.48,1870.48,1911.98
23,07/2015,2107.48,2113.73,1833.6,1968.3
24,06/2015,2065.23,2132.98,2042.85,2107.48
25,05/2015,2109.98,2129.73,2055.23,2065.23
26,04/2015,2088.73,2137.23,2061.98,2109.98
27,03/2015,2066.48,2125.98,2041.48,2088.73
28,02/2015,2106.73,2117.23,2040.23,2066.48
29,01/2015,1996.73,2119.48,1979.73,2106.73
30,12/2014,2073.98,2073.98,1976.23,1996.73
31,11/2014,2068.48,2092.73,1968.35,2073.98
32,10/2014,2016.98,2075.98,2002.23,2068.48
33,09/2014,1969.48,2023.48,1818.98,2016.98
34,08/2014,2001.98,2022.23,1963.48,1969.48
35,07/2014,1929.23,2005.98,1894.23,2001.98
36,06/2014,1962.23,1991.48,1928.48,1929.23
37,05/2014,1922.5,1967.7,1916.0,1962.23
38,04/2014,1885.0,1924.5,1859.5,1922.5
39,03/2014,1870.7,1899.2,1809.2,1885.0
40,02/2014,1862.5,1888.7,1830.5,1870.7
41,01/2014,1784.0,1868.2,1738.0,1862.5
42,12/2013,1848.0,1851.5,1767.2,1784.0
