,Date,Open,High,Low,Close
0,06/2017,48.31,48.31,48.275,48.275
1,05/2017,51.02,51.43,48.125,48.29
2,04/2017,51.85,54.65,46.625,51.02
3,03/2017,53.645,56.63,50.44,51.85
4,02/2017,56.505,57.03,49.7,53.645
5,01/2017,55.61,57.43,54.429,56.505
6,12/2016,56.855,58.36,53.57,55.61
7,11/2016,51.4,57.3,51.4,56.855
8,10/2016,48.535,52.35,43.555,51.4
9,09/2016,50.02,53.72,48.44,48.535
10,08/2016,46.995,50.25,45.08,50.02
11,07/2016,43.36,51.2,41.495,46.995
12,06/2016,49.795,50.73,42.5,43.36
13,05/2016,49.55,52.835,46.675,49.795
14,04/2016,47.34,50.85,43.31,49.55
15,03/2016,40.095,48.27,37.25,47.34
16,02/2016,36.66,42.525,35.94,40.095
17,01/2016,35.88,36.97,29.9,36.66
18,12/2015,37.71,38.97,27.09,35.88
19,11/2015,44.54,45.17,35.97,37.71
20,10/2015,49.44,50.9,43.14,44.54
21,09/2015,48.52,54.04,46.4,49.44
22,08/2015,52.92,53.45,46.25,48.52
23,07/2015,51.77,54.3,42.21,52.92
24,06/2015,63.24,63.34,51.61,51.77
25,05/2015,65.45,66.35,60.93,63.24
26,04/2015,66.81,69.61,61.25,65.45
27,03/2015,55.22,66.91,53.99,66.81
28,02/2015,62.19,62.37,52.56,55.22
29,01/2015,52.38,62.99,51.4,62.19
30,12/2014,56.8,57.94,45.18,52.38
31,11/2014,71.2,73.01,55.8,56.8
32,10/2014,85.87,86.38,70.79,71.2
33,09/2014,94.87,96.2,82.89,85.87
34,08/2014,103.07,103.28,94.24,94.87
35,07/2014,105.52,106.83,101.06,103.07
36,06/2014,112.32,112.81,104.38,105.52
37,05/2014,109.51,115.69,107.76,112.32
38,04/2014,108.11,111.0,106.84,109.51
39,03/2014,107.68,110.62,103.95,108.11
40,02/2014,109.05,112.38,105.41,107.68
41,01/2014,106.33,110.8,105.39,109.05
42,12/2013,110.55,111.33,105.43,106.33
43,11/2013,110.53,112.99,107.79,110.55
44,10/2013,108.91,111.64,102.98,110.53
45,09/2013,108.16,112.0,106.26,108.91
46,08/2013,114.03,116.55,107.22,108.16
47,07/2013,107.88,117.32,105.84,114.03
48,06/2013,102.01,109.25,101.63,106.93
49,05/2013,100.09,106.64,99.65,102.01
50,04/2013,101.71,105.92,98.75,100.09
51,03/2013,110.01,111.76,96.74,101.71
52,02/2013,110.94,112.21,106.89,110.01
53,01/2013,115.61,119.15,110.87,110.94
54,12/2012,110.3,115.74,109.33,115.61
55,11/2012,111.16,112.31,106.56,110.3
56,10/2012,108.38,112.18,104.75,111.16
57,09/2012,112.06,116.0,106.8,108.38
58,08/2012,114.8,117.93,107.1,112.06
59,07/2012,104.75,116.72,104.06,114.8
60,06/2012,97.61,108.16,95.28,104.75
61,05/2012,101.79,102.43,88.48,97.61
62,04/2012,119.22,120.01,101.26,101.79
63,03/2012,122.97,125.96,116.69,119.22
64,02/2012,122.87,128.38,121.38,122.97
65,01/2012,111.01,125.54,110.93,122.87
66,12/2011,107.36,115.1,107.36,111.01
67,11/2011,110.37,111.59,102.36,107.36
68,10/2011,109.21,116.45,105.64,110.37
69,09/2011,102.33,113.82,99.11,109.21
70,08/2011,114.63,116.58,101.66,102.33
71,07/2011,116.62,120.06,98.66,114.63
72,06/2011,111.96,119.86,109.51,116.62
73,05/2011,116.51,120.73,102.28,111.96
74,04/2011,125.86,126.52,105.14,116.51
75,03/2011,117.03,126.97,116.76,125.86
76,02/2011,113.32,117.68,106.71,117.03
77,01/2011,100.51,119.48,97.5,111.87
78,12/2010,94.13,101.68,92.36,100.51
79,11/2010,85.57,94.53,85.41,94.13
80,10/2010,83.09,88.77,83.02,88.28
81,09/2010,82.13,86.01,80.73,83.09
82,08/2010,74.39,82.39,74.35,82.13
83,07/2010,78.16,82.84,71.74,74.39
84,06/2010,74.72,78.3,70.76,78.16
85,05/2010,74.58,79.84,70.48,74.72
86,04/2010,87.29,89.56,68.15,74.58
87,03/2010,81.15,81.15,81.15,87.29
88,01/2010,71.36,81.29,67.88,81.29
89,12/2009,78.43,79.92,71.03,77.94
90,11/2009,75.25,80.15,73.71,78.48
91,09/2009,69.66,72.21,64.09,69.08
92,08/2009,71.99,76.01,68.86,69.66
93,07/2009,69.91,72.13,59.5,71.71
94,06/2009,65.78,73.51,64.92,69.31
95,04/2009,48.38,54.32,47.27,50.81
96,03/2009,45.57,53.87,41.31,49.24
97,02/2009,46.36,46.36,45.57,45.57
98,01/2009,46.07,48.43,39.36,46.36
99,12/2008,53.01,53.01,36.21,45.6
100,10/2008,99.46,100.32,59.03,65.33
101,09/2008,115.51,115.57,88.91,98.18
102,07/2008,140.45,147.51,120.89,123.99
103,06/2008,127.23,143.92,121.33,139.84
104,04/2008,100.51,117.57,99.0,111.37
105,03/2008,100.13,108.03,96.93,100.31
106,02/2008,91.51,101.28,86.84,100.11
107,01/2008,94.48,98.51,85.01,92.22
108,12/2007,88.75,95.88,86.57,93.86
109,11/2007,90.95,96.66,87.56,88.27
110,10/2007,79.26,91.19,75.65,90.64
111,08/2007,76.96,77.17,68.15,72.7
112,07/2007,71.23,78.41,70.93,77.06
113,05/2007,67.54,71.81,63.81,68.05
114,04/2007,67.92,69.6,64.77,67.66
115,02/2007,57.21,62.19,56.11,61.9
116,01/2007,60.89,61.65,50.76,57.41
117,11/2006,58.86,64.78,57.76,64.27
118,10/2006,62.71,62.83,57.4,59.04
119,08/2006,75.16,78.65,68.83,70.26
120,07/2006,73.27,78.19,72.12,75.16
121,06/2006,70.26,73.7,66.34,73.52
122,05/2006,71.99,74.98,67.64,70.42
123,03/2006,61.96,67.06,59.27,65.92
124,02/2006,65.77,67.28,57.91,61.77
125,01/2006,59.36,67.33,59.09,66.0
126,11/2005,58.08,60.66,53.76,55.06
127,10/2005,63.64,63.97,57.06,58.11
128,09/2005,66.71,67.89,61.01,63.49
129,08/2005,59.86,68.9,59.38,67.03
130,06/2005,50.86,59.6,50.86,55.59
131,05/2005,51.79,52.44,47.48,50.74
132,03/2005,50.09,56.16,49.06,54.3
133,02/2005,45.49,50.35,42.47,50.07
134,01/2005,39.41,47.36,38.82,45.93
135,12/2004,45.36,45.44,37.01,40.47
136,11/2004,49.21,49.61,40.06,45.52
137,09/2004,39.91,46.81,39.71,46.39
138,08/2004,39.71,45.16,39.21,39.62
139,06/2004,37.16,39.13,33.09,34.51
140,05/2004,35.23,38.91,34.96,36.59
141,04/2004,32.24,35.01,29.96,34.49
142,03/2004,32.34,33.83,31.16,31.52
143,01/2004,29.01,32.36,28.45,32.24
144,12/2003,28.44,31.16,27.77,30.18
145,10/2003,27.59,31.51,26.76,27.71
146,09/2003,29.46,29.56,25.06,27.62
147,07/2003,28.21,29.61,27.22,28.38
148,06/2003,26.71,28.53,25.81,28.34
149,04/2003,27.57,27.57,23.06,23.69
150,03/2003,32.46,34.56,24.01,27.19
151,02/2003,30.9,33.95,30.11,32.8
152,01/2003,29.31,31.81,27.86,31.11
153,12/2002,25.36,31.03,25.13,28.67
154,10/2002,28.86,29.4,25.06,25.73
155,09/2002,27.41,29.89,26.46,28.76
156,07/2002,25.51,26.67,24.66,25.45
157,05/2002,26.01,27.36,23.94,24.46
158,04/2002,26.37,28.16,23.82,26.48
159,02/2002,19.37,21.72,18.81,21.34
160,01/2002,19.47,22.41,18.24,19.19
161,12/2001,18.93,20.91,17.71,19.91
162,11/2001,20.36,21.64,16.66,19.15
163,10/2001,23.21,23.26,20.06,20.38
164,08/2001,25.1,26.8,24.51,26.42
165,07/2001,26.31,26.91,23.98,24.7
166,05/2001,27.63,29.69,27.02,29.35
167,04/2001,24.86,28.49,24.11,27.9
168,02/2001,26.56,30.37,25.51,25.58
169,01/2001,24.41,27.49,24.13,26.67
170,11/2000,31.11,34.01,30.33,31.89
171,10/2000,30.21,35.31,29.43,30.77
172,08/2000,26.81,32.81,26.74,31.73
173,07/2000,30.66,31.26,26.66,26.94
174,06/2000,28.41,31.71,27.59,30.58
175,05/2000,24.11,29.53,24.06,28.32
176,03/2000,28.01,31.96,24.26,24.78
177,02/2000,26.11,28.79,25.74,28.1
178,01/2000,23.91,27.12,23.05,25.98
179,12/1999,24.26,26.16,23.21,25.09
180,11/1999,21.86,25.91,21.75,23.65
181,09/1999,21.21,24.31,20.75,23.59
182,08/1999,19.29,21.43,19.21,21.34
183,06/1999,14.96,17.53,14.54,17.52
184,05/1999,16.71,17.1,14.92,15.21
185,04/1999,14.71,16.69,14.01,16.58
186,03/1999,10.94,15.29,10.64,15.25
187,01/1999,11.42,11.46,9.91,10.89
188,12/1998,10.45,11.31,9.56,10.54
189,11/1998,13.33,13.46,10.09,10.47
190,09/1998,12.31,14.91,12.2,14.69
191,08/1998,13.07,13.07,11.56,12.57
192,07/1998,13.43,13.71,12.26,13.1
193,06/1998,15.01,15.01,12.16,13.39
194,04/1998,14.21,14.96,13.33,14.47
195,03/1998,14.31,15.83,11.91,14.27
196,01/1998,15.96,15.96,13.74,14.18
197,12/1997,18.45,18.49,16.51,16.53
198,10/1997,19.83,21.76,19.31,20.03
199,09/1997,18.51,20.14,18.16,19.91
200,07/1997,18.55,19.1,17.81,18.95
201,06/1997,19.32,19.63,17.33,18.52
202,04/1997,19.07,19.28,17.55,18.53
203,03/1997,18.96,20.85,18.69,19.39
204,02/1997,22.46,22.78,18.81,18.86
205,01/1997,24.51,24.92,22.01,22.53
206,12/1996,22.86,24.66,22.01,23.82
207,10/1996,22.91,25.07,22.63,22.68
208,09/1996,21.49,24.4,21.46,23.22
209,07/1996,18.94,20.56,18.68,18.91
210,05/1996,18.86,19.69,16.79,17.81
211,04/1996,19.41,23.31,18.09,19.03
212,02/1996,16.61,18.46,16.44,17.77
213,01/1996,18.56,19.32,15.94,16.53
214,11/1995,16.38,17.2,16.22,17.05
215,10/1995,16.17,16.43,15.59,16.34
216,08/1995,16.16,16.52,15.77,16.26
217,07/1995,16.41,16.41,15.42,16.02
218,06/1995,17.7,18.24,16.21,16.39
219,05/1995,19.26,19.39,17.32,17.71
220,03/1995,16.93,17.61,16.37,17.51
221,02/1995,16.85,17.58,16.59,16.88
222,01/1995,16.49,17.09,16.06,16.81
223,11/1994,16.93,17.95,16.35,17.12
224,10/1994,17.11,17.33,15.63,16.93
225,09/1994,16.41,17.21,15.36,17.16
226,08/1994,18.91,19.42,15.61,16.37
227,06/1994,16.45,17.76,15.74,17.53
228,05/1994,15.86,16.8,15.46,16.46
229,03/1994,13.44,14.17,12.96,13.26
230,02/1994,14.2,15.14,12.91,13.36
231,01/1994,13.56,14.59,13.21,14.23
232,12/1993,14.45,14.63,13.21,13.21
233,11/1993,15.88,16.42,13.98,14.53
234,09/1993,17.06,17.58,15.48,17.44
235,08/1993,16.71,17.56,16.26,17.09
236,06/1993,18.62,18.78,17.33,17.52
237,05/1993,19.26,19.31,18.11,18.61
238,04/1993,18.94,19.25,18.69,19.16
239,03/1993,18.94,19.69,18.26,18.91
240,01/1993,18.46,19.21,17.63,18.93
241,12/1992,18.92,18.94,17.66,18.3
