,Date,Open,High,Low,Close
0,06/2017,46.1,46.11,46.07,46.09
1,05/2017,48.625,49.15,45.91,46.1
2,04/2017,49.17,51.98,43.74,48.625
3,03/2017,50.76,53.745,48.2,49.17
4,02/2017,53.98,54.415,47.04,50.76
5,01/2017,52.79,55.01,51.21,53.98
6,12/2016,53.81,55.22,50.704,52.79
7,11/2016,48.96,54.49,48.96,53.81
8,10/2016,46.75,49.88,42.19,48.96
9,09/2016,48.045,51.92,46.624,46.75
10,08/2016,44.835,48.3,42.729,48.045
11,07/2016,41.425,48.975,39.184,44.835
12,06/2016,48.39,49.34,40.564,41.425
13,05/2016,48.83,51.65,45.824,48.39
14,04/2016,45.99,50.19,43.015,48.83
15,03/2016,38.09,46.765,35.23,45.99
16,02/2016,33.88,41.88,33.36,38.09
17,01/2016,33.67,34.67,26.04,33.88
18,12/2015,37.51,38.37,27.54,33.67
19,11/2015,41.67,42.21,34.26,37.51
20,10/2015,46.37,48.34,39.88,41.67
21,09/2015,45.33,50.91,42.58,46.37
22,08/2015,48.04,48.85,43.2,45.33
23,07/2015,46.79,49.31,37.74,48.04
24,06/2015,58.99,59.09,46.67,46.79
25,05/2015,60.26,61.8,56.82,58.99
26,04/2015,59.79,62.57,56.5,60.26
27,03/2015,47.61,59.82,47.02,59.79
28,02/2015,49.37,52.39,42.02,47.61
29,01/2015,47.67,54.22,46.65,49.37
30,12/2014,52.89,53.94,43.57,47.67
31,11/2014,67.4,69.52,52.49,52.89
32,10/2014,80.66,80.97,67.09,67.4
33,09/2014,91.42,92.95,79.45,80.66
34,08/2014,95.85,95.9,90.4,91.42
35,07/2014,97.65,98.65,92.6,95.85
36,06/2014,105.44,106.06,97.62,97.65
37,05/2014,102.84,107.65,101.57,105.44
38,04/2014,99.64,104.5,98.74,102.84
39,03/2014,101.47,104.97,98.85,99.64
40,02/2014,102.51,105.2,97.35,101.47
41,01/2014,97.47,103.42,96.25,102.51
42,12/2013,98.45,98.94,91.22,97.47
43,11/2013,93.26,100.74,92.55,98.45
44,10/2013,96.25,96.62,91.75,93.26
45,09/2013,102.21,104.36,95.94,96.25
46,08/2013,107.59,110.67,101.05,102.21
47,07/2013,105.36,112.22,102.22,107.59
48,06/2013,96.41,108.9,96.06,104.25
49,05/2013,91.64,99.2,91.24,96.41
50,04/2013,92.96,97.34,90.1,91.64
51,03/2013,97.19,97.66,85.62,92.96
52,02/2013,91.72,97.32,89.34,97.19
53,01/2013,97.4,98.14,91.57,91.72
54,12/2012,91.07,98.22,91.07,97.4
55,11/2012,88.89,91.47,85.2,91.07
56,10/2012,86.06,89.77,84.05,88.89
57,09/2012,92.02,93.64,84.66,86.06
58,08/2012,96.6,100.41,88.95,92.02
59,07/2012,88.09,98.27,86.91,96.6
60,06/2012,84.76,93.22,82.1,88.09
61,05/2012,86.51,87.01,77.27,84.76
62,04/2012,104.85,106.44,85.85,86.51
63,03/2012,103.0,105.47,100.66,104.85
64,02/2012,106.86,110.54,102.12,103.0
65,01/2012,98.31,109.94,95.42,106.86
66,12/2011,98.96,103.72,97.39,98.31
67,11/2011,100.39,102.42,92.52,98.96
68,10/2011,92.52,103.36,89.16,100.39
69,09/2011,78.79,94.59,74.95,92.52
70,08/2011,88.81,90.5,77.14,78.79
71,07/2011,95.91,98.56,75.69,88.81
72,06/2011,95.09,100.6,93.46,95.91
73,05/2011,102.6,103.29,89.6,95.09
74,04/2011,113.66,114.81,94.66,102.6
75,03/2011,106.66,114.16,105.3,113.66
76,02/2011,100.65,106.81,96.21,106.66
77,01/2011,92.09,103.49,83.85,97.02
78,12/2010,90.82,92.99,85.09,92.09
79,11/2010,83.66,91.86,83.55,90.82
80,10/2010,81.37,87.22,81.31,87.09
